date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:32	7308/7308	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2019:48:01%20GMT	https://srivastava-abhishek.in/certi.html	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/certi.html	(from https://srivastava-abhishek.in/)
10:41:32	7135/7135	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2019:48:01%20GMT	https://srivastava-abhishek.in/dots.html	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/dots.html	(from https://srivastava-abhishek.in/)
10:41:33	1315309/1315309	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-1411ed%22	https://srivastava-abhishek.in/assets/img/portfolio/dnbplay.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/dnbplay.png	(from https://srivastava-abhishek.in/)
10:41:33	101783/101783	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-18d97%22	https://srivastava-abhishek.in/assets/img/portfolio/port.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/port.png	(from https://srivastava-abhishek.in/)
10:41:34	1707/1707	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-6ab%22	https://srivastava-abhishek.in/assets/img/springboot.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/springboot.png	(from https://srivastava-abhishek.in/)
10:41:34	743565/743565	---M--	200	added ('OK')	image/jpeg	etag:%2264fccbf1-b588d%22	https://srivastava-abhishek.in/assets/img/portfolio/app.jpg	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/app.jpg	(from https://srivastava-abhishek.in/)
10:41:34	22010/22010	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-55fa%22	https://srivastava-abhishek.in/assets/img/java.PNG	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/java.png	(from https://srivastava-abhishek.in/)
10:41:34	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ddccf5-4d7%22	https://srivastava-abhishek.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://srivastava-abhishek.in/)
10:41:35	55827/55827	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-da13%22	https://srivastava-abhishek.in/assets/img/railways.PNG	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/railways.png	(from https://srivastava-abhishek.in/)
10:41:35	5409/5409	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264fccbf1-1521%22	https://srivastava-abhishek.in/assets/vendor/purecounter/purecounter_vanilla.js	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/purecounter/purecounter_vanilla.js	(from https://srivastava-abhishek.in/)
